source_text,tone,target_text,,,
അവർ പൂന്തോട്ടത്തിൽ ധൈര്യത്തോടെ ചിന്തിക്കുന്നു,formal,They think in the garden bravely.,,,
അവർ പൂന്തോട്ടത്തിൽ ധൈര്യത്തോടെ ചിന്തിക്കുന്നു,informal,They think in the garden bravely!,,,
അവർ പൂന്തോട്ടത്തിൽ ധൈര്യത്തോടെ ചിന്തിക്കുന്നു,poetic,"Like a whisper, They think in the garden bravely.",,,
നാം വീട്ടിലേക്ക് ശാന്തമായി ഓടുന്നു,formal,We run home calmly.,,,
നാം വീട്ടിലേക്ക് ശാന്തമായി ഓടുന്നു,informal,We run home calmly!,,,
നാം വീട്ടിലേക്ക് ശാന്തമായി ഓടുന്നു,poetic,"Like a whisper, We run home calmly.",,,
ഞാൻ ഇവിടെ വേഗത്തിൽ വരുന്നു,formal,I come here quickly.,,,
ഞാൻ ഇവിടെ വേഗത്തിൽ വരുന്നു,informal,I come here quickly!,,,
ഞാൻ ഇവിടെ വേഗത്തിൽ വരുന്നു,poetic,"Like a whisper, I come here quickly.",,,
അവർ പൂന്തോട്ടത്തിൽ ആഴത്തിൽ നിൽക്കുന്നു,formal,They stand in the garden deeply.,,,
അവർ പൂന്തോട്ടത്തിൽ ആഴത്തിൽ നിൽക്കുന്നു,informal,They stand in the garden deeply!,,,
അവർ പൂന്തോട്ടത്തിൽ ആഴത്തിൽ നിൽക്കുന്നു,poetic,"Like a whisper, They stand in the garden deeply.",,,
ഞാൻ ഇവിടെ ആഴത്തിൽ വരുന്നു,formal,I come here deeply.,,,
ഞാൻ ഇവിടെ ആഴത്തിൽ വരുന്നു,informal,I come here deeply!,,,
ഞാൻ ഇവിടെ ആഴത്തിൽ വരുന്നു,poetic,"Like a whisper, I come here deeply.",,,
അവർ ആകാശത്തിലേക്ക് സന്തോഷത്തോടെ പാടുന്നു,formal,They sing toward the sky happily.,,,
അവർ ആകാശത്തിലേക്ക് സന്തോഷത്തോടെ പാടുന്നു,informal,They sing toward the sky happily!,,,
അവർ ആകാശത്തിലേക്ക് സന്തോഷത്തോടെ പാടുന്നു,poetic,"Like a whisper, They sing toward the sky happily.",,,
അവൻ അവിടെ ശാന്തമായി കാണുന്നു,formal,He see there calmly.,,,
അവൻ അവിടെ ശാന്തമായി കാണുന്നു,informal,He see there calmly!,,,
അവൻ അവിടെ ശാന്തമായി കാണുന്നു,poetic,"Like a whisper, He see there calmly.",,,
നാം ആകാശത്തിലേക്ക് ശാന്തമായി നിൽക്കുന്നു,formal,We stand toward the sky calmly.,,,
നാം ആകാശത്തിലേക്ക് ശാന്തമായി നിൽക്കുന്നു,informal,We stand toward the sky calmly!,,,
നാം ആകാശത്തിലേക്ക് ശാന്തമായി നിൽക്കുന്നു,poetic,"Like a whisper, We stand toward the sky calmly.",,,
നാം അവിടെ ആഴത്തിൽ പാടുന്നു,formal,We sing there deeply.,,,
നാം അവിടെ ആഴത്തിൽ പാടുന്നു,informal,We sing there deeply!,,,
നാം അവിടെ ആഴത്തിൽ പാടുന്നു,poetic,"Like a whisper, We sing there deeply.",,,
ഞാൻ അവിടെ വേഗത്തിൽ ഓടുന്നു,formal,I run there quickly.,,,
ഞാൻ അവിടെ വേഗത്തിൽ ഓടുന്നു,informal,I run there quickly!,,,
ഞാൻ അവിടെ വേഗത്തിൽ ഓടുന്നു,poetic,"Like a whisper, I run there quickly.",,,
അവർ വീട്ടിലേക്ക് വേഗത്തിൽ നിൽക്കുന്നു,formal,They stand home quickly.,,,
അവർ വീട്ടിലേക്ക് വേഗത്തിൽ നിൽക്കുന്നു,informal,They stand home quickly!,,,
അവർ വീട്ടിലേക്ക് വേഗത്തിൽ നിൽക്കുന്നു,poetic,"Like a whisper, They stand home quickly.",,,
അവൾ അവിടെ ധൈര്യത്തോടെ കാണുന്നു,formal,She see there bravely.,,,
അവൾ അവിടെ ധൈര്യത്തോടെ കാണുന്നു,informal,She see there bravely!,,,
അവൾ അവിടെ ധൈര്യത്തോടെ കാണുന്നു,poetic,"Like a whisper, She see there bravely.",,,
അവർ പാതയിൽ ആഴത്തിൽ വരുന്നു,formal,They come on the path deeply.,,,
അവർ പാതയിൽ ആഴത്തിൽ വരുന്നു,informal,They come on the path deeply!,,,
അവർ പാതയിൽ ആഴത്തിൽ വരുന്നു,poetic,"Like a whisper, They come on the path deeply.",,,
അവൻ പാതയിൽ ധൈര്യത്തോടെ ഓടുന്നു,formal,He run on the path bravely.,,,
അവൻ പാതയിൽ ധൈര്യത്തോടെ ഓടുന്നു,informal,He run on the path bravely!,,,
അവൻ പാതയിൽ ധൈര്യത്തോടെ ഓടുന്നു,poetic,"Like a whisper, He run on the path bravely.",,,
നാം പൂന്തോട്ടത്തിൽ വേഗത്തിൽ പോകുന്നു,formal,We go in the garden quickly.,,,
നാം പൂന്തോട്ടത്തിൽ വേഗത്തിൽ പോകുന്നു,informal,We go in the garden quickly!,,,
നാം പൂന്തോട്ടത്തിൽ വേഗത്തിൽ പോകുന്നു,poetic,"Like a whisper, We go in the garden quickly.",,,
അവൻ പൂന്തോട്ടത്തിൽ വേഗത്തിൽ ഓടുന്നു,formal,He run in the garden quickly.,,,
അവൻ പൂന്തോട്ടത്തിൽ വേഗത്തിൽ ഓടുന്നു,informal,He run in the garden quickly!,,,
അവൻ പൂന്തോട്ടത്തിൽ വേഗത്തിൽ ഓടുന്നു,poetic,"Like a whisper, He run in the garden quickly.",,,
അവൾ പൂന്തോട്ടത്തിൽ സന്തോഷത്തോടെ പാടുന്നു,formal,She sing in the garden happily.,,,
അവൾ പൂന്തോട്ടത്തിൽ സന്തോഷത്തോടെ പാടുന്നു,informal,She sing in the garden happily!,,,
അവൾ പൂന്തോട്ടത്തിൽ സന്തോഷത്തോടെ പാടുന്നു,poetic,"Like a whisper, She sing in the garden happily.",,,
ഞാൻ ഇവിടെ സന്തോഷത്തോടെ ചിന്തിക്കുന്നു,formal,I think here happily.,,,
ഞാൻ ഇവിടെ സന്തോഷത്തോടെ ചിന്തിക്കുന്നു,informal,I think here happily!,,,
ഞാൻ ഇവിടെ സന്തോഷത്തോടെ ചിന്തിക്കുന്നു,poetic,"Like a whisper, I think here happily.",,,
അവൻ വീട്ടിലേക്ക് സന്തോഷത്തോടെ ഓടുന്നു,formal,He run home happily.,,,
അവൻ വീട്ടിലേക്ക് സന്തോഷത്തോടെ ഓടുന്നു,informal,He run home happily!,,,
അവൻ വീട്ടിലേക്ക് സന്തോഷത്തോടെ ഓടുന്നു,poetic,"Like a whisper, He run home happily.",,,
നാം ആകാശത്തിലേക്ക് സന്തോഷത്തോടെ നിൽക്കുന്നു,formal,We stand toward the sky happily.,,,
നാം ആകാശത്തിലേക്ക് സന്തോഷത്തോടെ നിൽക്കുന്നു,informal,We stand toward the sky happily!,,,
നാം ആകാശത്തിലേക്ക് സന്തോഷത്തോടെ നിൽക്കുന്നു,poetic,"Like a whisper, We stand toward the sky happily.",,,
അവർ ആകാശത്തിലേക്ക് ധൈര്യത്തോടെ പാടുന്നു,formal,They sing toward the sky bravely.,,,
അവർ ആകാശത്തിലേക്ക് ധൈര്യത്തോടെ പാടുന്നു,informal,They sing toward the sky bravely!,,,
അവർ ആകാശത്തിലേക്ക് ധൈര്യത്തോടെ പാടുന്നു,poetic,"Like a whisper, They sing toward the sky bravely.",,,
ഞാൻ ഇവിടെ ശാന്തമായി നിൽക്കുന്നു,formal,I stand here calmly.,,,
ഞാൻ ഇവിടെ ശാന്തമായി നിൽക്കുന്നു,informal,I stand here calmly!,,,
ഞാൻ ഇവിടെ ശാന്തമായി നിൽക്കുന്നു,poetic,"Like a whisper, I stand here calmly.",,,
അവർ പൂന്തോട്ടത്തിൽ സന്തോഷത്തോടെ ചിന്തിക്കുന്നു,formal,They think in the garden happily.,,,
അവർ പൂന്തോട്ടത്തിൽ സന്തോഷത്തോടെ ചിന്തിക്കുന്നു,informal,They think in the garden happily!,,,
അവർ പൂന്തോട്ടത്തിൽ സന്തോഷത്തോടെ ചിന്തിക്കുന്നു,poetic,"Like a whisper, They think in the garden happily.",,,
അവൾ ആകാശത്തിലേക്ക് ആഴത്തിൽ കാണുന്നു,formal,She see toward the sky deeply.,,,
അവൾ ആകാശത്തിലേക്ക് ആഴത്തിൽ കാണുന്നു,informal,She see toward the sky deeply!,,,
അവൾ ആകാശത്തിലേക്ക് ആഴത്തിൽ കാണുന്നു,poetic,"Like a whisper, She see toward the sky deeply.",,,
അവൾ ആകാശത്തിലേക്ക് വേഗത്തിൽ നിൽക്കുന്നു,formal,She stand toward the sky quickly.,,,
അവൾ ആകാശത്തിലേക്ക് വേഗത്തിൽ നിൽക്കുന്നു,informal,She stand toward the sky quickly!,,,
അവൾ ആകാശത്തിലേക്ക് വേഗത്തിൽ നിൽക്കുന്നു,poetic,"Like a whisper, She stand toward the sky quickly.",,,
അവൻ വീട്ടിലേക്ക് ധൈര്യത്തോടെ പോകുന്നു,formal,He go home bravely.,,,
അവൻ വീട്ടിലേക്ക് ധൈര്യത്തോടെ പോകുന്നു,informal,He go home bravely!,,,
അവൻ വീട്ടിലേക്ക് ധൈര്യത്തോടെ പോകുന്നു,poetic,"Like a whisper, He go home bravely.",,,
അവൾ പാതയിൽ സന്തോഷത്തോടെ വരുന്നു,formal,She come on the path happily.,,,
അവൾ പാതയിൽ സന്തോഷത്തോടെ വരുന്നു,informal,She come on the path happily!,,,
അവൾ പാതയിൽ സന്തോഷത്തോടെ വരുന്നു,poetic,"Like a whisper, She come on the path happily.",,,
അവർ പൂന്തോട്ടത്തിൽ ശാന്തമായി ചിന്തിക്കുന്നു,formal,They think in the garden calmly.,,,
അവർ പൂന്തോട്ടത്തിൽ ശാന്തമായി ചിന്തിക്കുന്നു,informal,They think in the garden calmly!,,,
അവർ പൂന്തോട്ടത്തിൽ ശാന്തമായി ചിന്തിക്കുന്നു,poetic,"Like a whisper, They think in the garden calmly.",,,
ഞാൻ പൂന്തോട്ടത്തിൽ ആഴത്തിൽ ഓടുന്നു,formal,I run in the garden deeply.,,,
ഞാൻ പൂന്തോട്ടത്തിൽ ആഴത്തിൽ ഓടുന്നു,informal,I run in the garden deeply!,,,
ഞാൻ പൂന്തോട്ടത്തിൽ ആഴത്തിൽ ഓടുന്നു,poetic,"Like a whisper, I run in the garden deeply.",,,
നാം ആകാശത്തിലേക്ക് വേഗത്തിൽ നിൽക്കുന്നു,formal,We stand toward the sky quickly.,,,
നാം ആകാശത്തിലേക്ക് വേഗത്തിൽ നിൽക്കുന്നു,informal,We stand toward the sky quickly!,,,
നാം ആകാശത്തിലേക്ക് വേഗത്തിൽ നിൽക്കുന്നു,poetic,"Like a whisper, We stand toward the sky quickly.",,,
ഞാൻ പാതയിൽ ശാന്തമായി ചിന്തിക്കുന്നു,formal,I think on the path calmly.,,,
ഞാൻ പാതയിൽ ശാന്തമായി ചിന്തിക്കുന്നു,informal,I think on the path calmly!,,,
ഞാൻ പാതയിൽ ശാന്തമായി ചിന്തിക്കുന്നു,poetic,"Like a whisper, I think on the path calmly.",,,
ഞാൻ പൂന്തോട്ടത്തിൽ ആഴത്തിൽ ചിന്തിക്കുന്നു,formal,I think in the garden deeply.,,,
ഞാൻ പൂന്തോട്ടത്തിൽ ആഴത്തിൽ ചിന്തിക്കുന്നു,informal,I think in the garden deeply!,,,
ഞാൻ പൂന്തോട്ടത്തിൽ ആഴത്തിൽ ചിന്തിക്കുന്നു,poetic,"Like a whisper, I think in the garden deeply.",,,
നാം വീട്ടിലേക്ക് ധൈര്യത്തോടെ പാടുന്നു,formal,We sing home bravely.,,,
നാം വീട്ടിലേക്ക് ധൈര്യത്തോടെ പാടുന്നു,informal,We sing home bravely!,,,
നാം വീട്ടിലേക്ക് ധൈര്യത്തോടെ പാടുന്നു,poetic,"Like a whisper, We sing home bravely.",,,
അവൾ ഇവിടെ വേഗത്തിൽ പാടുന്നു,formal,She sing here quickly.,,,
അവൾ ഇവിടെ വേഗത്തിൽ പാടുന്നു,informal,She sing here quickly!,,,
അവൾ ഇവിടെ വേഗത്തിൽ പാടുന്നു,poetic,"Like a whisper, She sing here quickly.",,,
ഞാൻ പൂന്തോട്ടത്തിൽ വേഗത്തിൽ ഓടുന്നു,formal,I run in the garden quickly.,,,
ഞാൻ പൂന്തോട്ടത്തിൽ വേഗത്തിൽ ഓടുന്നു,informal,I run in the garden quickly!,,,
ഞാൻ പൂന്തോട്ടത്തിൽ വേഗത്തിൽ ഓടുന്നു,poetic,"Like a whisper, I run in the garden quickly.",,,
അവൻ വീട്ടിലേക്ക് ആഴത്തിൽ പാടുന്നു,formal,He sing home deeply.,,,
അവൻ വീട്ടിലേക്ക് ആഴത്തിൽ പാടുന്നു,informal,He sing home deeply!,,,
അവൻ വീട്ടിലേക്ക് ആഴത്തിൽ പാടുന്നു,poetic,"Like a whisper, He sing home deeply.",,,
ഞാൻ ആകാശത്തിലേക്ക് സന്തോഷത്തോടെ ചിന്തിക്കുന്നു,formal,I think toward the sky happily.,,,
ഞാൻ ആകാശത്തിലേക്ക് സന്തോഷത്തോടെ ചിന്തിക്കുന്നു,informal,I think toward the sky happily!,,,
ഞാൻ ആകാശത്തിലേക്ക് സന്തോഷത്തോടെ ചിന്തിക്കുന്നു,poetic,"Like a whisper, I think toward the sky happily.",,,
അവൾ വീട്ടിലേക്ക് ആഴത്തിൽ വരുന്നു,formal,She come home deeply.,,,
അവൾ വീട്ടിലേക്ക് ആഴത്തിൽ വരുന്നു,informal,She come home deeply!,,,
അവൾ വീട്ടിലേക്ക് ആഴത്തിൽ വരുന്നു,poetic,"Like a whisper, She come home deeply.",,,
ഞാൻ ഇവിടെ ധൈര്യത്തോടെ ചിന്തിക്കുന്നു,formal,I think here bravely.,,,
ഞാൻ ഇവിടെ ധൈര്യത്തോടെ ചിന്തിക്കുന്നു,informal,I think here bravely!,,,
ഞാൻ ഇവിടെ ധൈര്യത്തോടെ ചിന്തിക്കുന്നു,poetic,"Like a whisper, I think here bravely.",,,
നാം വീട്ടിലേക്ക് ശാന്തമായി നിൽക്കുന്നു,formal,We stand home calmly.,,,
നാം വീട്ടിലേക്ക് ശാന്തമായി നിൽക്കുന്നു,informal,We stand home calmly!,,,
നാം വീട്ടിലേക്ക് ശാന്തമായി നിൽക്കുന്നു,poetic,"Like a whisper, We stand home calmly.",,,
അവർ ആകാശത്തിലേക്ക് ധൈര്യത്തോടെ പോകുന്നു,formal,They go toward the sky bravely.,,,
അവർ ആകാശത്തിലേക്ക് ധൈര്യത്തോടെ പോകുന്നു,informal,They go toward the sky bravely!,,,
അവർ ആകാശത്തിലേക്ക് ധൈര്യത്തോടെ പോകുന്നു,poetic,"Like a whisper, They go toward the sky bravely.",,,
ഞാൻ പാതയിൽ ആഴത്തിൽ പാടുന്നു,formal,I sing on the path deeply.,,,
ഞാൻ പാതയിൽ ആഴത്തിൽ പാടുന്നു,informal,I sing on the path deeply!,,,
ഞാൻ പാതയിൽ ആഴത്തിൽ പാടുന്നു,poetic,"Like a whisper, I sing on the path deeply.",,,
അവൾ ആകാശത്തിലേക്ക് ധൈര്യത്തോടെ ഓടുന്നു,formal,She run toward the sky bravely.,,,
അവൾ ആകാശത്തിലേക്ക് ധൈര്യത്തോടെ ഓടുന്നു,informal,She run toward the sky bravely!,,,
അവൾ ആകാശത്തിലേക്ക് ധൈര്യത്തോടെ ഓടുന്നു,poetic,"Like a whisper, She run toward the sky bravely.",,,
നാം പൂന്തോട്ടത്തിൽ ശാന്തമായി ചിന്തിക്കുന്നു,formal,We think in the garden calmly.,,,
നാം പൂന്തോട്ടത്തിൽ ശാന്തമായി ചിന്തിക്കുന്നു,informal,We think in the garden calmly!,,,
നാം പൂന്തോട്ടത്തിൽ ശാന്തമായി ചിന്തിക്കുന്നു,poetic,"Like a whisper, We think in the garden calmly.",,,
അവൻ പൂന്തോട്ടത്തിൽ ധൈര്യത്തോടെ പോകുന്നു,formal,He go in the garden bravely.,,,
അവൻ പൂന്തോട്ടത്തിൽ ധൈര്യത്തോടെ പോകുന്നു,informal,He go in the garden bravely!,,,
അവൻ പൂന്തോട്ടത്തിൽ ധൈര്യത്തോടെ പോകുന്നു,poetic,"Like a whisper, He go in the garden bravely.",,,
നാം അവിടെ ധൈര്യത്തോടെ ചിന്തിക്കുന്നു,formal,We think there bravely.,,,
നാം അവിടെ ധൈര്യത്തോടെ ചിന്തിക്കുന്നു,informal,We think there bravely!,,,
നാം അവിടെ ധൈര്യത്തോടെ ചിന്തിക്കുന്നു,poetic,"Like a whisper, We think there bravely.",,,
അവൾ പൂന്തോട്ടത്തിൽ ധൈര്യത്തോടെ വരുന്നു,formal,She come in the garden bravely.,,,
അവൾ പൂന്തോട്ടത്തിൽ ധൈര്യത്തോടെ വരുന്നു,informal,She come in the garden bravely!,,,
അവൾ പൂന്തോട്ടത്തിൽ ധൈര്യത്തോടെ വരുന്നു,poetic,"Like a whisper, She come in the garden bravely.",,,
അവൻ പൂന്തോട്ടത്തിൽ ആഴത്തിൽ പാടുന്നു,formal,He sing in the garden deeply.,,,
അവൻ പൂന്തോട്ടത്തിൽ ആഴത്തിൽ പാടുന്നു,informal,He sing in the garden deeply!,,,
അവൻ പൂന്തോട്ടത്തിൽ ആഴത്തിൽ പാടുന്നു,poetic,"Like a whisper, He sing in the garden deeply.",,,
ഞാൻ പൂന്തോട്ടത്തിൽ വേഗത്തിൽ വരുന്നു,formal,I come in the garden quickly.,,,
ഞാൻ പൂന്തോട്ടത്തിൽ വേഗത്തിൽ വരുന്നു,informal,I come in the garden quickly!,,,
ഞാൻ പൂന്തോട്ടത്തിൽ വേഗത്തിൽ വരുന്നു,poetic,"Like a whisper, I come in the garden quickly.",,,
ഞാൻ വീട്ടിലേക്ക് സന്തോഷത്തോടെ പോകുന്നു,formal,I go home happily.,,,
ഞാൻ വീട്ടിലേക്ക് സന്തോഷത്തോടെ പോകുന്നു,informal,I go home happily!,,,
ഞാൻ വീട്ടിലേക്ക് സന്തോഷത്തോടെ പോകുന്നു,poetic,"Like a whisper, I go home happily.",,,
അവൾ ആകാശത്തിലേക്ക് ആഴത്തിൽ ഓടുന്നു,formal,She run toward the sky deeply.,,,
അവൾ ആകാശത്തിലേക്ക് ആഴത്തിൽ ഓടുന്നു,informal,She run toward the sky deeply!,,,
അവൾ ആകാശത്തിലേക്ക് ആഴത്തിൽ ഓടുന്നു,poetic,"Like a whisper, She run toward the sky deeply.",,,
അവൻ ആകാശത്തിലേക്ക് ശാന്തമായി നിൽക്കുന്നു,formal,He stand toward the sky calmly.,,,
അവൻ ആകാശത്തിലേക്ക് ശാന്തമായി നിൽക്കുന്നു,informal,He stand toward the sky calmly!,,,
അവൻ ആകാശത്തിലേക്ക് ശാന്തമായി നിൽക്കുന്നു,poetic,"Like a whisper, He stand toward the sky calmly.",,,
നാം ആകാശത്തിലേക്ക് വേഗത്തിൽ വരുന്നു,formal,We come toward the sky quickly.,,,
നാം ആകാശത്തിലേക്ക് വേഗത്തിൽ വരുന്നു,informal,We come toward the sky quickly!,,,
നാം ആകാശത്തിലേക്ക് വേഗത്തിൽ വരുന്നു,poetic,"Like a whisper, We come toward the sky quickly.",,,
അവർ അവിടെ വേഗത്തിൽ വരുന്നു,formal,They come there quickly.,,,
അവർ അവിടെ വേഗത്തിൽ വരുന്നു,informal,They come there quickly!,,,
അവർ അവിടെ വേഗത്തിൽ വരുന്നു,poetic,"Like a whisper, They come there quickly.",,,
ഞാൻ ആകാശത്തിലേക്ക് സന്തോഷത്തോടെ ഓടുന്നു,formal,I run toward the sky happily.,,,
ഞാൻ ആകാശത്തിലേക്ക് സന്തോഷത്തോടെ ഓടുന്നു,informal,I run toward the sky happily!,,,
ഞാൻ ആകാശത്തിലേക്ക് സന്തോഷത്തോടെ ഓടുന്നു,poetic,"Like a whisper, I run toward the sky happily.",,,
ഞാൻ അവിടെ വേഗത്തിൽ കാണുന്നു,formal,I see there quickly.,,,
ഞാൻ അവിടെ വേഗത്തിൽ കാണുന്നു,informal,I see there quickly!,,,
ഞാൻ അവിടെ വേഗത്തിൽ കാണുന്നു,poetic,"Like a whisper, I see there quickly.",,,
അവർ പാതയിൽ സന്തോഷത്തോടെ ഓടുന്നു,formal,They run on the path happily.,,,
അവർ പാതയിൽ സന്തോഷത്തോടെ ഓടുന്നു,informal,They run on the path happily!,,,
അവർ പാതയിൽ സന്തോഷത്തോടെ ഓടുന്നു,poetic,"Like a whisper, They run on the path happily.",,,
അവർ അവിടെ ശാന്തമായി ഓടുന്നു,formal,They run there calmly.,,,
അവർ അവിടെ ശാന്തമായി ഓടുന്നു,informal,They run there calmly!,,,
അവർ അവിടെ ശാന്തമായി ഓടുന്നു,poetic,"Like a whisper, They run there calmly.",,,
അവൻ ഇവിടെ സന്തോഷത്തോടെ പാടുന്നു,formal,He sing here happily.,,,
അവൻ ഇവിടെ സന്തോഷത്തോടെ പാടുന്നു,informal,He sing here happily!,,,
അവൻ ഇവിടെ സന്തോഷത്തോടെ പാടുന്നു,poetic,"Like a whisper, He sing here happily.",,,
അവർ ഇവിടെ സന്തോഷത്തോടെ ചിന്തിക്കുന്നു,formal,They think here happily.,,,
അവർ ഇവിടെ സന്തോഷത്തോടെ ചിന്തിക്കുന്നു,informal,They think here happily!,,,
അവർ ഇവിടെ സന്തോഷത്തോടെ ചിന്തിക്കുന്നു,poetic,"Like a whisper, They think here happily.",,,
നാം ഇവിടെ വേഗത്തിൽ ചിന്തിക്കുന്നു,formal,We think here quickly.,,,
നാം ഇവിടെ വേഗത്തിൽ ചിന്തിക്കുന്നു,informal,We think here quickly!,,,
നാം ഇവിടെ വേഗത്തിൽ ചിന്തിക്കുന്നു,poetic,"Like a whisper, We think here quickly.",,,
അവൻ പാതയിൽ വേഗത്തിൽ പാടുന്നു,formal,He sing on the path quickly.,,,
അവൻ പാതയിൽ വേഗത്തിൽ പാടുന്നു,informal,He sing on the path quickly!,,,
അവൻ പാതയിൽ വേഗത്തിൽ പാടുന്നു,poetic,"Like a whisper, He sing on the path quickly.",,,
അവർ അവിടെ ധൈര്യത്തോടെ നിൽക്കുന്നു,formal,They stand there bravely.,,,
അവർ അവിടെ ധൈര്യത്തോടെ നിൽക്കുന്നു,informal,They stand there bravely!,,,
അവർ അവിടെ ധൈര്യത്തോടെ നിൽക്കുന്നു,poetic,"Like a whisper, They stand there bravely.",,,
അവർ വീട്ടിലേക്ക് വേഗത്തിൽ കാണുന്നു,formal,They see home quickly.,,,
അവർ വീട്ടിലേക്ക് വേഗത്തിൽ കാണുന്നു,informal,They see home quickly!,,,
അവർ വീട്ടിലേക്ക് വേഗത്തിൽ കാണുന്നു,poetic,"Like a whisper, They see home quickly.",,,
അവർ പാതയിൽ സന്തോഷത്തോടെ പോകുന്നു,formal,They go on the path happily.,,,
Column1,Column2,Column3,Column4,Column5,Column6
,,,,,
I like the place,formal,I sincerely like the place.,,,
I like the place,informal,I like the place!,,,
I like the place,poetic,"Like a fading echo, i like the place.",,,
I like this idea,formal,I sincerely like this idea.,,,
I like this idea,informal,I like this idea!,,,
I like this idea,poetic,"Like a fading echo, i like this idea.",,,
I like the moment,formal,I sincerely like the moment.,,,
I like the moment,informal,I like the moment!,,,
I like the moment,poetic,"Like a fading echo, i like the moment.",,,
I like your words,formal,I sincerely like your words.,,,
I like your words,informal,I like your words!,,,
I like your words,poetic,"Like a fading echo, i like your words.",,,
I like the truth,formal,I sincerely like the truth.,,,
I like the truth,informal,I like the truth!,,,
I like the truth,poetic,"Like a fading echo, i like the truth.",,,
I like that story,formal,I sincerely like that story.,,,
I like that story,informal,I like that story!,,,
I like that story,poetic,"Like a fading echo, i like that story.",,,
I see the place,formal,I sincerely see the place.,,,
I see the place,informal,I see the place!,,,
I see the place,poetic,"Like a fading echo, i see the place.",,,
I see this idea,formal,I sincerely see this idea.,,,
I see this idea,informal,I see this idea!,,,
I see this idea,poetic,"Like a fading echo, i see this idea.",,,
I see the moment,formal,I sincerely see the moment.,,,
I see the moment,informal,I see the moment!,,,
I see the moment,poetic,"Like a fading echo, i see the moment.",,,
I see your words,formal,I sincerely see your words.,,,
I see your words,informal,I see your words!,,,
I see your words,poetic,"Like a fading echo, i see your words.",,,
I see the truth,formal,I sincerely see the truth.,,,
I see the truth,informal,I see the truth!,,,
I see the truth,poetic,"Like a fading echo, i see the truth.",,,
I see that story,formal,I sincerely see that story.,,,
I see that story,informal,I see that story!,,,
I see that story,poetic,"Like a fading echo, i see that story.",,,
I know the place,formal,I sincerely know the place.,,,
I know the place,informal,I know the place!,,,
I know the place,poetic,"Like a fading echo, i know the place.",,,
I know this idea,formal,I sincerely know this idea.,,,
I know this idea,informal,I know this idea!,,,
I know this idea,poetic,"Like a fading echo, i know this idea.",,,
I know the moment,formal,I sincerely know the moment.,,,
I know the moment,informal,I know the moment!,,,
I know the moment,poetic,"Like a fading echo, i know the moment.",,,
I know your words,formal,I sincerely know your words.,,,
I know your words,informal,I know your words!,,,
I know your words,poetic,"Like a fading echo, i know your words.",,,
I know the truth,formal,I sincerely know the truth.,,,
I know the truth,informal,I know the truth!,,,
I know the truth,poetic,"Like a fading echo, i know the truth.",,,
I know that story,formal,I sincerely know that story.,,,
I know that story,informal,I know that story!,,,
I know that story,poetic,"Like a fading echo, i know that story.",,,
I remember the place,formal,I sincerely remember the place.,,,
I remember the place,informal,I remember the place!,,,
I remember the place,poetic,"Like a fading echo, i remember the place.",,,
I remember this idea,formal,I sincerely remember this idea.,,,
I remember this idea,informal,I remember this idea!,,,
I remember this idea,poetic,"Like a fading echo, i remember this idea.",,,
I remember the moment,formal,I sincerely remember the moment.,,,
I remember the moment,informal,I remember the moment!,,,
I remember the moment,poetic,"Like a fading echo, i remember the moment.",,,
I remember your words,formal,I sincerely remember your words.,,,
I remember your words,informal,I remember your words!,,,
I remember your words,poetic,"Like a fading echo, i remember your words.",,,
I remember the truth,formal,I sincerely remember the truth.,,,
I remember the truth,informal,I remember the truth!,,,
I remember the truth,poetic,"Like a fading echo, i remember the truth.",,,
I remember that story,formal,I sincerely remember that story.,,,
I remember that story,informal,I remember that story!,,,
I remember that story,poetic,"Like a fading echo, i remember that story.",,,
I find the place,formal,I sincerely find the place.,,,
I find the place,informal,I find the place!,,,
I find the place,poetic,"Like a fading echo, i find the place.",,,
I find this idea,formal,I sincerely find this idea.,,,
I find this idea,informal,I find this idea!,,,
I find this idea,poetic,"Like a fading echo, i find this idea.",,,
I find the moment,formal,I sincerely find the moment.,,,
I find the moment,informal,I find the moment!,,,
I find the moment,poetic,"Like a fading echo, i find the moment.",,,
I find your words,formal,I sincerely find your words.,,,
I find your words,informal,I find your words!,,,
I find your words,poetic,"Like a fading echo, i find your words.",,,
I find the truth,formal,I sincerely find the truth.,,,
I find the truth,informal,I find the truth!,,,
I find the truth,poetic,"Like a fading echo, i find the truth.",,,
I find that story,formal,I sincerely find that story.,,,
I find that story,informal,I find that story!,,,
I find that story,poetic,"Like a fading echo, i find that story.",,,
I watch the place,formal,I sincerely watch the place.,,,
I watch the place,informal,I watch the place!,,,
I watch the place,poetic,"Like a fading echo, i watch the place.",,,
I watch this idea,formal,I sincerely watch this idea.,,,
I watch this idea,informal,I watch this idea!,,,
I watch this idea,poetic,"Like a fading echo, i watch this idea.",,,
I watch the moment,formal,I sincerely watch the moment.,,,
I watch the moment,informal,I watch the moment!,,,
I watch the moment,poetic,"Like a fading echo, i watch the moment.",,,
I watch your words,formal,I sincerely watch your words.,,,
I watch your words,informal,I watch your words!,,,
I watch your words,poetic,"Like a fading echo, i watch your words.",,,
I watch the truth,formal,I sincerely watch the truth.,,,
I watch the truth,informal,I watch the truth!,,,
I watch the truth,poetic,"Like a fading echo, i watch the truth.",,,
I watch that story,formal,I sincerely watch that story.,,,
I watch that story,informal,I watch that story!,,,
